,tweet,valoracion
18,"{KR} All iN on Rumble [Ch 868 LP], Kuri on Alistar [GM 662 LP], @RichHots on Kennen [Ch 1,083 LP], Liiv HuB on Sami… https://t.co/zL2Mzq5jVB",1
19,nothing beats playing kennen and going 2 6 and 8 but still winning bc your team was doing fine and you were there to ult,1
20,@JesterX19 @TFT Both teemo and voli has been in the game. Only rammus has not.,0
21,@TheGOATRammus @TFT 1 cost rammus with built in zrot would be dope.,1 
44,Qiyana and Samira and Rell were not well received...,0
45,"@RiotAugust Hard agree, but please, I beg you, less Katarinas and Talons please.\n\nThey feel like absolute horrid do… https://t.co/5erkO9NXwk",0
46,"@jason_xiaojie You should, i am main Qiyana and would love it 💕",1
47," ""@astrodid Pls tell me there's gonna be Qiyana\nI need it""",1
48,New Name Better GamePlay: Trying to Learn Qiyana for new Season! https://t.co/WlcgRY1uxW,1
49," ""@G2esports @G2Jankos @CarlosR We've already had to witness @CarlosR on pyke and @G2Jankos on qiyana so can it really get worse?""",0
50,A fun little clip from todays stream! https://t.co/NIgyocehLa I love playing #Qiyana and I really hope to get insan… https://t.co/2sc3wRzOPY,1
51,blocked that one annoying ass qiyana stan,0
52,@RiotStarWeaver Was just playing Qiyana the other day and thinking about how much I love this Q effect.\n\nI’m not su… https://t.co/ZLUFtL3xhB,1
53,"i hope this year we get more ixaocan champs,as of now there is qiyana and shes the only hispanic league character in league :c",1
54," ""@LeagueOfLegends I know what they are thinking: There goes Qiyana, she's so much better than all nine of her sister… https://t.co/XxvaYRQoBB""",1
55,@jason_xiaojie YES QIYANA PLEASE,1
56,@MarkYetter The champ changes. The qiyana and xayah buffs coming wont make them much better they need significant changes,0
57,@MarkYetter I appreciate the qiyana buffs but i dont think it will be enough.,0
58,@jason_xiaojie Omg pls do qiyana first omg omg,1
59,Qiyana doesn’t even have a 50% win rate at all ranks and they’re only buffing her health regen as if she’s not one… https://t.co/vPnRfYGu9x,0
60," ""the qiyana game was ok pls don't come for me 😭""",1
61,✨ So apparently I’m a Qiyana god,1
169,"mat: why did i agree 2 this? 
.......
mat: yea kai'sa's pretty hot..... great personality..............",1
170,i'm not mentally ill guys the kai'sa pfp is all a mask,0
171,"@hhikida Please, Shamrock Malphite 🍀 The skin this 2021 deserves.",1
172,@yuumiprincess69 tank malphite hitting me one and dealing 5 bazillion damage,1
173,@Pride909 my competitive drive tells me to tell them to lock in malphite,1
174,"gonna type ""malphite open"" every lobby so my toplaner picks a good champ instead of yorick aatrox fiora or literally anything else",1
175,"Shit that needs fixed before s11 starts
-Ignite
-Pantheon
-Warwick top
-Corruption Pots
-Malphite Q range
-Autofill ranked",0
176,@Hisoka__uwu me when i get hit by 1 malphite q and lose half of my health bar !!!???:DdD,1
177,"@yuumiprincess69 malphite is only used to abuse your friends

right @ihatemiu ? :3333",0
178,malphite players r not human beings,0
179,Malphite top pocket pick is actually underrated strat,1
180,@Romanium33 Malphite montage when,1
181,@ADCQuinn fuck malphite and his chicken strips,0
182,"@i0ki_LoL Sir What? How? Why?

Also yeah I guess malphite supp is cool I wouldn't know im just a lil enchanter boy… https://t.co/e61unyeasv",1
183,"Goodluck summoners, I’m gonna be a malphite one trick for this tournament hahaha rock go smash 🗿 https://t.co/MB2qMUGadF",1
184,"@r2dave2 @CaptainFlowers @MarcMerrill As a Malphite and Nasus player, yes please blind pick Tryndamere.",1
185,"@CaptainFlowers @MarcMerrill Hey hey hey, there's a segment of the player base who don't want him changed! Even bef… https://t.co/rEGkLOvA82",1
186,"first time Malphite in norms, LET'S GOOOOO https://t.co/mIzTAnfXcP",1
187,@choggerNA I always ask my teammates to ban vayne so i can ban malphite 😎,0
188,banned malphite instead of vayne for the first time in 3 years. never again,0
189,@coomsicle yeah im planning on playing Malphite this coming season to see how much i can climb. before ive been all over the place.,1
190,glacial malphite looks good here https://t.co/lkp8SsEfnC,1
191,malphite is the only champion with LP in the name,1
192,"@AerialQueenLiz Go back to mid or top. We don't need your melee ass. Oh, and take Yasuo and Malphite with you. We hate them down here.",0
